Question,Equation,Answer,fold
말가 한 마리에 2.0원 입니다. 6.0마리는 총 얼마입니까?,2.0 * 6.0,12,5
태형이네 농장에 말가 1마리가 사라져서 총 6마리 있습니다. 말가 태어나기 전에는 몇 마리 였나요?,6 + 1,7,8
모든 말는 같은 수의 당근을 먹는다. 3마리의 말가 하루에 9개의 당근을 먹는다면 30개의 당근을 먹기위해 며칠이 걸리겠는가?,30 / ( ( 9 / 3 ) * 5 ),2,2
세마리의 말는 매일 당근을 9개 먹는다. 말가 5마리일 때 30개의 당근을 모두 먹으려면 며칠이 걸릴까?,30 / ( ( 9 / 3 ) * 5 ),2,4
태형이네 농장에 말가 6마리 있었습니다. 아기 말 1마리가 사라졌다면 농장에 있는 말의 수는 얼마인가?,6 - 1,5,6
말 3마리가 하루에 당근을 6개 먹습니다. 모든 말가 매일 똑같은 수의 당근을 먹는다면 말 8마리가 당근 48개를 먹는 데 며칠이 걸리는지 알아내시오.,48 / ( ( 6 / 3 ) * 8 ),3,2
동물 인형 9개를 한 줄로 놓았는데 그중에서 말 인형은 뒤에서 다섯째에 있습니다. 말 인형은 앞에서 몇째에 있는지 구하세요,9 - 5 + 1,5,2
말가 한 마리에 2.0원 일때 6.0마리는 총 얼마입니까?,2.0 * 6.0,12,6
10.0마리의 말를 가지고있는 호석이는 3.0마리를 분양했습니다. 몇 마리의 말가 남아있습니까?,10.0 - 3.0,7,1
말 3마리가 하루에 당근을 6개 먹습니다. 모든 말가 매일 똑같은 수의 당근을 먹는다면 말 8마리가 당근 48개를 먹는 데 며칠이 걸리는지 구해 보시오.,48 / ( ( 6 / 3 ) * 8 ),3,5
"유정이는 정원에서 8.0개의 감자를 키우고 있는데 말가 3.0개를 먹었을 때, 유정이는 몇 개의 감자를 갖고 있습니까?",8.0 - 3.0,5,5
말 한 마리 당 당근이 6개 먹을 수 있습니다. 10마리의 말는 몇 개의 당근을 먹을 수 있을까요?,6 * 10,60,3
"유정이는 정원에서 8.0개의 당근을 키웠습니다. 말가 3.0개를 먹었을 때, 유정이는 몇 개의 당근을 갖고 있습니까?",8.0 - 3.0,5,9
호석이는 35.0개의 수박과 30.0개의 당근을 갖고 있습니다. 말가 수박 27.0개를 먹었으면 호석이는 총 몇개의 수박을 갖고 있습니까?,35.0 - 27.0,8,1
14마리의 말가 7개의 우리에 나누어 들어갈 때 우리 하나 당 말는 몇 마리 있는가?,( 14 / 7 ),2,6
"10마리의 말가 있습니다. 말 한 마리 당 당근이 6개 먹을 수 있다고 할 때, 몇 개의 당근이 필요한가요?",6 * 10,60,1
"유정이는 정원에서 8.0개의 채소를 키웠습니다. 말가 3.0개를 먹었을 때, 유정이는 몇 개의 채소를 갖고 있습니까?",8.0 - 3.0,5,5
말 3마리가 하루에 당근을 6개 먹습니다. 모든 말가 매일 똑같은 수의 당근을 먹는다면 말 8마리가 당근 48개를 먹는 데 며칠이 걸리는지 구하시오.,48 / ( ( 6 / 3 ) * 8 ),3,9
"호석이는 10.0마리의 말를 갖고 있습니다. 그가 3.0마리를 잃어버렸을 때, 몇 마리의 말가 남아있습니까?",10.0 - 3.0,7,5
태형이네 농장에 말가 6마리 있었습니다. 아기 말 1마리가 태어났다면 농장에 있는 말의 수는 얼마인가?,6 + 1,7,9
말가 한 마리에 2.0원 이라고 하면 6.0마리는 총 얼마입니까?,2.0 * 6.0,12,6
말 3마리가 하루에 당근을 6개 먹습니다. 모든 말가 매일 똑같은 수의 당근을 먹는다면 말 8마리가 당근 48개를 먹는 데 며칠이 걸릴까요?,48 / ( ( 6 / 3 ) * 8 ),3,9
10마리의 말가 있습니다. 말 한 마리 당 당근이 6개 먹을 수 있습니다. 몇 개의 당근이 필요한가요?,6 * 10,60,5
"유정이는 정원에서 8.0개의 감자를 키웠습니다. 말가 3.0개를 먹었을 때, 유정이는 몇 개의 감자를 갖고 있습니까?",8.0 - 3.0,5,7
10마리의 말가 있고 말 한 마리 당 당근이 6개 먹을 수 있습니다. 몇 개의 당근이 필요한가요?,6 * 10,60,1
"호석이가 10.0마리의 말를 키우다가 3.0마리를 분양했을 때, 몇 마리의 말가 남아있습니까?",10.0 - 3.0,7,4
당근 9개를 매일 먹는 3마리의 말가 있다. 이 말가 5마리일 때 30개의 당근을 모두 며칠만에 먹을 수 있는가?,30 / ( ( 9 / 3 ) * 5 ),2,7
3개의 농장에 말를 나누어 넣으려고 할때 24마리의 말가 있다면 한 농장 당 몇마리의 말를 나누어주어야 할까?,( 24 / 3 ),8,9
"10.0마리의 말를 키우고있는 그가 3.0마리를 분양했다면, 몇 마리의 말가 남아있습니까?",10.0 - 3.0,7,2
"호석이는 10.0마리의 말를 갖고 있습니다. 그는 3.0마리를 분양했을 때, 몇 마리의 말가 남아있습니까?",10.0 - 3.0,7,9
말 3마리가 하루에 당근을 6개 먹습니다. 모든 말가 매일 똑같은 수의 당근을 먹는다면 말 8마리가 당근 48개를 먹는 데 며칠이 걸리는가?,48 / ( ( 6 / 3 ) * 8 ),3,4
우리에 원숭이 10마리와 코끼리 30마리가 있습니다. 사육사들이 10마리의 말를 넣는다면 총 동물의 수는 몇마리입니까?,10.0 + 30.0 + 10.0,50,4
"당나귀 한 마리 당 당근이 6개 먹을 수 있다고 할 때, 10마리의 당나귀는 몇 개의 당근을 먹을 수 있을까요?",6 * 10,60,4
태형이네 농장에 당나귀가 1마리가 사라져서 총 6마리 있습니다. 당나귀가 태어나기 전에는 몇 마리 였나요?,6 + 1,7,9
모든 당나귀는 같은 수의 당근을 먹는다. 3마리의 당나귀가 하루에 9개의 당근을 먹는다면 30개의 당근을 먹기위해 며칠이 걸리겠는가?,30 / ( ( 9 / 3 ) * 5 ),2,5
세마리의 당나귀는 매일 당근을 9개 먹는다. 당나귀가 5마리일 때 30개의 당근을 모두 먹으려면 며칠이 걸릴까?,30 / ( ( 9 / 3 ) * 5 ),2,6
"정원에는 8개의 당근이 있는데, 당나귀가 3.0개를 먹었을 때 정원에는 몇 개의 감자가 있습니까?",8.0 - 3.0,5,9
태형이네 농장에 당나귀가 6마리 있었습니다. 아기 당나귀 1마리가 사라졌다면 농장에 있는 당나귀의 수는 얼마인가?,6 - 1,5,4
당나귀 3마리가 하루에 당근을 6개 먹습니다. 모든 당나귀가 매일 똑같은 수의 당근을 먹는다면 당나귀 8마리가 당근 48개를 먹는 데 며칠이 걸리는지 알아내시오.,48 / ( ( 6 / 3 ) * 8 ),3,7
동물 인형 9개를 한 줄로 놓았는데 그중에서 당나귀 인형은 뒤에서 다섯째에 있습니다. 당나귀 인형은 앞에서 몇째에 있는지 구하세요,9 - 5 + 1,5,7
당나귀가 한 마리에 2.0원 일때 6.0마리는 총 얼마입니까?,2.0 * 6.0,12,9
10.0마리의 당나귀를 가지고있는 호석이는 3.0마리를 분양했습니다. 몇 마리의 당나귀가 남아있습니까?,10.0 - 3.0,7,4
당나귀 3마리가 하루에 당근을 6개 먹습니다. 모든 당나귀가 매일 똑같은 수의 당근을 먹는다면 당나귀 8마리가 당근 48개를 먹는 데 며칠이 걸리는지 구해 보시오.,48 / ( ( 6 / 3 ) * 8 ),3,1
"유정이는 정원에서 8.0개의 감자를 키우고 있는데 당나귀가 3.0개를 먹었을 때, 유정이는 몇 개의 감자를 갖고 있습니까?",8.0 - 3.0,5,4
당나귀 한 마리 당 당근이 6개 먹을 수 있습니다. 10마리의 당나귀는 몇 개의 당근을 먹을 수 있을까요?,6 * 10,60,9
"유정이는 정원에서 8.0개의 당근을 키웠습니다. 당나귀가 3.0개를 먹었을 때, 유정이는 몇 개의 당근을 갖고 있습니까?",8.0 - 3.0,5,3
호석이는 35.0개의 수박과 30.0개의 당근을 갖고 있습니다. 당나귀가 수박 27.0개를 먹었으면 호석이는 총 몇개의 수박을 갖고 있습니까?,35.0 - 27.0,8,7
14마리의 당나귀가 7개의 우리에 나누어 들어갈 때 우리 하나 당 당나귀는 몇 마리 있는가?,( 14 / 7 ),2,6
"10마리의 당나귀가 있습니다. 당나귀 한 마리 당 당근이 6개 먹을 수 있다고 할 때, 몇 개의 당근이 필요한가요?",6 * 10,60,9
"유정이는 정원에서 8.0개의 채소를 키웠습니다. 당나귀가 3.0개를 먹었을 때, 유정이는 몇 개의 채소를 갖고 있습니까?",8.0 - 3.0,5,3
당나귀 3마리가 하루에 당근을 6개 먹습니다. 모든 당나귀가 매일 똑같은 수의 당근을 먹는다면 당나귀 8마리가 당근 48개를 먹는 데 며칠이 걸리는지 구하시오.,48 / ( ( 6 / 3 ) * 8 ),3,6
"호석이는 10.0마리의 당나귀를 갖고 있습니다. 그가 3.0마리를 잃어버렸을 때, 몇 마리의 당나귀가 남아있습니까?",10.0 - 3.0,7,4
태형이네 농장에 당나귀가 6마리 있었습니다. 아기 당나귀 1마리가 태어났다면 농장에 있는 당나귀의 수는 얼마인가?,6 + 1,7,8
당나귀 3마리가 하루에 당근을 6개 먹습니다. 모든 당나귀가 매일 똑같은 수의 당근을 먹는다면 당나귀 8마리가 당근 48개를 먹는 데 며칠이 걸릴까요?,48 / ( ( 6 / 3 ) * 8 ),3,1
10마리의 당나귀가 있습니다. 당나귀 한 마리 당 당근이 6개 먹을 수 있습니다. 몇 개의 당근이 필요한가요?,6 * 10,60,8
"유정이는 정원에서 8.0개의 감자를 키웠습니다. 당나귀가 3.0개를 먹었을 때, 유정이는 몇 개의 감자를 갖고 있습니까?",8.0 - 3.0,5,2
10마리의 당나귀가 있고 당나귀 한 마리 당 당근이 6개 먹을 수 있습니다. 몇 개의 당근이 필요한가요?,6 * 10,60,2
"호석이가 10.0마리의 당나귀를 키우다가 3.0마리를 분양했을 때, 몇 마리의 당나귀가 남아있습니까?",10.0 - 3.0,7,2
당근 9개를 매일 먹는 3마리의 당나귀가 있다. 이 당나귀가 5마리일 때 30개의 당근을 모두 며칠만에 먹을 수 있는가?,30 / ( ( 9 / 3 ) * 5 ),2,1
3개의 농장에 당나귀를 나누어 넣으려고 할때 24마리의 당나귀가 있다면 한 농장 당 몇마리의 당나귀를 나누어주어야 할까?,( 24 / 3 ),8,6
"10.0마리의 당나귀를 키우고있는 그가 3.0마리를 분양했다면, 몇 마리의 당나귀가 남아있습니까?",10.0 - 3.0,7,3
태형이네 농장에 당나귀가 1마리가 태어나서 총 6마리 있습니다. 당나귀가 태어나기 전에는 몇 마리 였나요?,6 - 1,5,4
"호석이는 10.0마리의 당나귀를 갖고 있습니다. 그는 3.0마리를 분양했을 때, 몇 마리의 당나귀가 남아있습니까?",10.0 - 3.0,7,1
당나귀 3마리가 하루에 당근을 9개 먹습니다. 모든 당나귀가 매일 똑같은 수의 당근을 먹는다면 당나귀 5마리가 당근 30개를 먹는 데 며칠이 걸리는지 구해 보시오.,30 / ( ( 9 / 3 ) * 5 ),2,2
당나귀 3마리가 하루에 당근을 6개 먹습니다. 모든 당나귀가 매일 똑같은 수의 당근을 먹는다면 당나귀 8마리가 당근 48개를 먹는 데 며칠이 걸리는가?,48 / ( ( 6 / 3 ) * 8 ),3,2
우리에 원숭이 10마리와 코끼리 30마리가 있습니다. 사육사들이 10마리의 당나귀를 넣는다면 총 동물의 수는 몇마리입니까?,10.0 + 30.0 + 10.0,50,9
한 봉지에 40개씩 들어 있는 초코과자가 2봉지 있습니다. 초코과자 50개를 더 구해왔다면 초코과자는 몇 개일까요?,40 * 2 + 50,130,8
한 봉지에 15개씩 들어있는 초코과자를 3봉지 선물하려고 합니다. 초코과자의 개수는 몇 개입니까?,15 * 3,45,3
한 상자에 27개씩 들어 있는 초코과자가 5상자 있습니다. 5상자에 들어 있는 초코과자는 모두 몇 개인가요?,27 * 5,135,7
한 봉지에 15개씩 들어있는 초코과자를 3봉지 선물하려고 합니다. 초코과자의 개수는 몇 개인가?,15 * 3,45,9
한 봉지에 40개씩 들어 있는 초코과자가 2봉지 있습니다. 그 중에서 몇 개를 먹었더니 30개가 남았습니다. 먹은 초코과자는 몇 개일까요?,40 * 2 - 30,50,3
한 봉지에 15개씩 들어있는 초코과자를 3봉지 선물하려고 합니다. 초코과자의 개수는 몇 개일까?,15 * 3,45,7
한 봉지에 40개씩 들어 있는 초코과자가 2봉지를 열어서 초코과자 50개를 먹었습니다. 남아있는 초코과자는 몇 개일까요?,40 * 2 - 50,30,9
한 봉지에 15개씩 들어있는 초코과자를 3봉지 선물하려고 합니다. 초코과자의 개수는 몇 개인가요?,15 * 3,45,8
한 봉지에 40개씩 들어 있는 초코과자가 2봉지 있습니다. 그중에서 50개를 먹었습니다. 남은 초코과자는 몇 개일까요?,40 * 2 - 50,30,2
한 봉지에 40개씩 들어 있는 초코과자가 2봉지 있습니다. 2봉지를 더 사왔다면 초코과자는 몇 개일까요?,40 * ( 2 + 2 ),160,6
한 봉지에 15개씩 들어있는 초코과자를 3봉지 선물하려고 합니다. 초코과자의 개수는 몇 개일까요?,15 * 3,45,1
초코과자가 모두 80개 있습니다. 초코과자를 한 봉지에 4개씩 7봉지에 담고 남은 초코과자는 몇 개 입니까?,80 - 4 * 7,52,6
한 봉지에 40개씩 들어 있는 푸딩가 2봉지 있습니다. 푸딩 50개를 더 구해왔다면 푸딩는 몇 개일까요?,40 * 2 + 50,130,8
한 봉지에 15개씩 들어있는 푸딩를 3봉지 선물하려고 합니다. 푸딩의 개수는 몇 개입니까?,15 * 3,45,2
한 상자에 27개씩 들어 있는 푸딩가 5상자 있습니다. 5상자에 들어 있는 푸딩는 모두 몇 개인가요?,27 * 5,135,6
한 봉지에 15개씩 들어있는 푸딩를 3봉지 선물하려고 합니다. 푸딩의 개수는 몇 개인가?,15 * 3,45,6
한 봉지에 40개씩 들어 있는 푸딩가 2봉지를 열어서 푸딩 50개를 먹었습니다. 남아있는 푸딩는 몇 개일까요?,40 * 2 - 50,30,6
한 봉지에 15개씩 들어있는 푸딩를 3봉지 선물하려고 합니다. 푸딩의 개수는 몇 개인가요?,15 * 3,45,1
한 봉지에 40개씩 들어 있는 푸딩가 2봉지 있습니다. 그중에서 50개를 먹었습니다. 남은 푸딩는 몇 개일까요?,40 * 2 - 50,30,2
한 봉지에 40개씩 들어 있는 푸딩가 2봉지 있습니다. 2봉지를 더 사왔다면 푸딩는 몇 개일까요?,40 * ( 2 + 2 ),160,2
한 봉지에 15개씩 들어있는 푸딩를 3봉지 선물하려고 합니다. 푸딩의 개수는 몇 개일까요?,15 * 3,45,2
푸딩가 모두 80개 있습니다. 푸딩를 한 봉지에 4개씩 7봉지에 담고 남은 푸딩는 몇 개 입니까?,80 - 4 * 7,52,4
화분 하나에 무궁화이 7송이씩 있는 화분이 총 7개 있습니다. 한 명당 무궁화 7송이씩 나누어 주면 몇 명에게 나누어 줄 수 있는지 구하세요.,7 * 7 / 7,7,9
"화단을 똑같이 10부분으로 나누고 화단의 5/10에는 장미를 심고, 0.3에는 무궁화을 심고, 나머지에는 카네이션을 심었습니다. 카네이션을 심은 부분은 전체의 얼마인지 소수로 나타내시오.",1 - ( ( 5 / 10 ) + 0.3 ),0.2,9
화분 하나에 무궁화이 7송이씩 있는 화분이 총 7개 있습니다. 한 명당 무궁화 7송이씩 나누어 주려고 합니다. 총 몇 명에게 나누어 줄 수 있는지 구하세요.,7 * 7 / 7,7,3
화분 하나에 무궁화이 7송이씩 있는 화분이 총 7개 있습니다. 한 명당 무궁화 7송이씩 나누어 주면 몇 명에게 나누어 줄 수 있나요?,7 * 7 / 7,7,7
꽃집에서 한 다발에 2송이씩 들어 있는 무궁화을 5다발 팔았습니다. 무궁화을 모두 몇 송이 팔았습니까?,2 * 5,10,3
"석진이는 꽃집에서 무궁화을 5송이, 장미를 4송이, 백합을 3송이 샀습니다. 석진이는 장미를 백합보다 몇 송이 더 많이 샀을까요?",4 - 3,1,4
"화단을 똑같이 10부분으로 나누었습니다. 화단의 5/10만큼은 장미를 심고, 0.3만큼은 무궁화을 심고, 나머지에는 카네이션을 심었습니다. 카네이션을 심은 부분은 전체의 얼마인지 소수로 나타내시오.",1 - ( ( 5 / 10 ) + 0.3 ),0.2,3
"화단을 똑같이 10부분으로 나누었습니다. 화단의 5/10만큼은 장미를 심고, 0.3만큼은 무궁화을 심고, 나머지에는 카네이션을 심었습니다. 전체 화단에서 카네이션이 차지하는 비율을 소수로 나타내시오.",1 - ( ( 5 / 10 ) + 0.3 ),0.2,3
"화단을 똑같이 10부분으로 나누고 화단의 5/10에는 장미를, 0.3에는 개나리을 심었습니다. 마지막으로 화단의 나머지 부분에는 카네이션을 심었습니다. 카네이션을 심은 부분은 전체의 얼마인지 소수로 나타내시오.",1 - ( ( 5 / 10 ) + 0.3 ),0.2,8
화분 하나에 개나리이 7송이씩 있는 화분이 총 7개 있습니다. 한 명당 개나리 7송이씩 나누어 주면 몇 명에게 나누어 줄 수 있는지 구하세요.,7 * 7 / 7,7,8
"화단을 똑같이 10부분으로 나누고 화단의 5/10에는 장미를 심고, 0.3에는 개나리을 심고, 나머지에는 카네이션을 심었습니다. 카네이션을 심은 부분은 전체의 얼마인지 소수로 나타내시오.",1 - ( ( 5 / 10 ) + 0.3 ),0.2,1
화분 하나에 개나리이 7송이씩 있는 화분이 총 7개 있습니다. 한 명당 개나리 7송이씩 나누어 주려고 합니다. 총 몇 명에게 나누어 줄 수 있는지 구하세요.,7 * 7 / 7,7,8
화분 하나에 개나리이 7송이씩 있는 화분이 총 7개 있습니다. 한 명당 개나리 7송이씩 나누어 주면 몇 명에게 나누어 줄 수 있나요?,7 * 7 / 7,7,3
꽃집에서 한 다발에 2송이씩 들어 있는 개나리을 5다발 팔았습니다. 개나리을 모두 몇 송이 팔았습니까?,2 * 5,10,5
개나리이 한 화분에 7송이씩 있는 7개의 화분이 있습니다. 개나리을 한 명에게 7송이씩 나누어 주면 몇 명에게 나누어 줄 수 있는지 구하세요.,7 * 7 / 7,7,7
"석진이는 꽃집에서 개나리을 5송이, 장미를 4송이, 백합을 3송이 샀습니다. 석진이는 장미를 백합보다 몇 송이 더 많이 샀을까요?",4 - 3,1,3
"화단을 똑같이 10부분으로 나누었습니다. 화단의 5/10만큼은 장미를 심고, 0.3만큼은 개나리을 심고, 나머지에는 카네이션을 심었습니다. 카네이션을 심은 부분은 전체의 얼마인지 소수로 나타내시오.",1 - ( ( 5 / 10 ) + 0.3 ),0.2,2
"화단을 똑같이 10부분으로 나누었습니다. 화단의 5/10만큼은 장미를 심고, 0.3만큼은 개나리을 심고, 나머지에는 카네이션을 심었습니다. 전체 화단에서 카네이션이 차지하는 비율을 소수로 나타내시오.",1 - ( ( 5 / 10 ) + 0.3 ),0.2,3
"화단을 똑같이 10부분으로 나누고 화단의 5/10에는 장미를, 0.3에는 개나리을 심었습니다. 화단의 나머지 부분에는 카네이션을 심었을때, 카네이션을 심은 부분은 전체의 얼마인지 소수로 나타내시오.",1 - ( ( 5 / 10 ) + 0.3 ),0.2,2
개나리이 한 화분에 7송이씩 있는 7개의 화분이 있습니다. 개나리을 한 명에게 7송이씩 나누어 주면 몇 명에게 나누어 줄 수 있나요?,7 * 7 / 7,7,1
"태형이는 꽃집에서 백합 2송이, 장미 3송이, 수국 3송이를 샀습니다. 태형이가 산 백합과 수국는 모두 몇 송이일까요?",2 + 3,5,2
"태형이는 꽃집에서 백합 2송이, 장미 3송이, 수국 3송이를 샀습니다. 태형이가 산 장미와 수국는 모두 몇 송이일까요?",3 + 3,6,7
"태형이는 꽃집에서 백합 2송이, 장미 3송이, 수국 3송이를 샀습니다. 태형이가 산 꽃 중 가장 많은 꽃과 가장 적은 꽃의 수의 차는 얼마일까요?","max( 2 , 3 , 3 ) - min( 2 , 3 , 3 )",1,5
"태형이는 꽃집에서 백합 2송이, 장미 3송이, 수국 3송이를 샀습니다. 태형이가 산 꽃은 모두 몇 송이일까요?",2 + 3 + 3,8,7
"태형이는 꽃집에서 백합 2송이, 장미 3송이, 수국 3송이를 샀습니다. 태형이가 산 장미와 백합은 모두 몇 송이일까요?",3 + 2,5,8
남준이는 봉지 5장에 오전에 산 치즈김밥 225줄과 오후에 산 치즈김밥 240줄을 똑같이 나누어 담으려고 합니다. 한 봉지에 치즈김밥을 몇 줄씩 담아야 하나요?,( 225 + 240 ) / 5,93,7
남준이는 마트에서 오전에 산 치즈김밥 225개와 오후에 산 치즈김밥 240개를 봉지 5장에 똑같이 나누어 담으려고 합니다. 한 봉지에 치즈김밥을 몇 개씩 담아야 하나요?,( 225 + 240 ) / 5,93,7
가방에는 치즈김밥이 19개 들어있습니다. 64개의 가방 안에 있는 치즈김밥은 모두 몇 개일까요?,19 * 64,1216,9
치즈김밥이 한줄에 8개씩 36줄 있습니다. 이중에서 치즈김밥 4알을 먹었다면 남은 치즈김밥은 몇 개인지 구하시오.,8 * 36 - 4,284,2
한 줄에 8개씩 36줄 있는 치즈김밥 중 4알을 먹었다면 남은 치즈김밥은 몇 개인지 구하시오.,8 * 36 - 4,284,6
한 줄에 8개씩 36줄 있는 치즈김밥 중 4알을 먹었다면 남은 치즈김밥은 몇 개인가요?,8 * 36 - 4,284,3
64개의 가방이 있습니다. 가방에는 치즈김밥이 19개 들어있습니다. 치즈김밥은 모두 몇 개일까요?,19 * 64,1216,6
64개의 가방이 있고 가방에는 치즈김밥이 19개 들어있습니다. 치즈김밥은 모두 몇 개일까요?,19 * 64,1216,5
"가방에는 치즈김밥이 19개 들어있을 때, 64개의 가방 안에 있는 치즈김밥은 모두 몇 개일까요?",19 * 64,1216,5
한 줄에 8알씩 36줄 있는 치즈김밥 중 4개를 먹었다면 남은 치즈김밥은 몇 개인지 쓰시오.,8 * 36 - 4,284,1
남준이는 봉지 5장에 오전에 산 참치김밥 225줄과 오후에 산 참치김밥 240줄을 똑같이 나누어 담으려고 합니다. 한 봉지에 참치김밥을 몇 줄씩 담아야 하나요?,( 225 + 240 ) / 5,93,3
남준이는 마트에서 오전에 산 참치김밥 225개와 오후에 산 참치김밥 240개를 봉지 5장에 똑같이 나누어 담으려고 합니다. 한 봉지에 참치김밥을 몇 개씩 담아야 하나요?,( 225 + 240 ) / 5,93,6
참치김밥이 한줄에 8개씩 36줄 있습니다. 이중에서 참치김밥 4알을 먹었다면 남은 참치김밥은 몇 개인가요?,8 * 36 - 4,284,7
가방에는 참치김밥이 19개 들어있습니다. 64개의 가방 안에 있는 참치김밥은 모두 몇 개일까요?,19 * 64,1216,3
참치김밥이 한줄에 8개씩 36줄 있습니다. 이중에서 참치김밥 4알을 먹었다면 남은 참치김밥은 몇 개인지 구하시오.,8 * 36 - 4,284,3
한 줄에 8개씩 36줄 있는 참치김밥 중 4알을 먹었다면 남은 참치김밥은 몇 개인지 구하시오.,8 * 36 - 4,284,4
한 줄에 8개씩 36줄 있는 참치김밥 중 4알을 먹었다면 남은 참치김밥은 몇 개인가요?,8 * 36 - 4,284,8
64개의 가방이 있습니다. 가방에는 참치김밥이 19개 들어있습니다. 참치김밥은 모두 몇 개일까요?,19 * 64,1216,9
64개의 가방이 있고 가방에는 참치김밥이 19개 들어있습니다. 참치김밥은 모두 몇 개일까요?,19 * 64,1216,3
"가방에는 참치김밥이 19개 들어있을 때, 64개의 가방 안에 있는 참치김밥은 모두 몇 개일까요?",19 * 64,1216,8
한 줄에 8알씩 36줄 있는 참치김밥 중 4개를 먹었다면 남은 참치김밥은 몇 개인지 쓰시오.,8 * 36 - 4,284,6
남준이는 봉지 5장에 오전에 산 고기김밥 225줄과 오후에 산 고기김밥 240줄을 똑같이 나누어 담으려고 합니다. 한 봉지에 고기김밥을 몇 줄씩 담아야 하나요?,( 225 + 240 ) / 5,93,1
남준이는 마트에서 오전에 산 고기김밥 225개와 오후에 산 고기김밥 240개를 봉지 5장에 똑같이 나누어 담으려고 합니다. 한 봉지에 고기김밥을 몇 개씩 담아야 하나요?,( 225 + 240 ) / 5,93,1
고기김밥이 한줄에 8개씩 36줄 있습니다. 이중에서 고기김밥 4알을 먹었다면 남은 고기김밥은 몇 개인가요?,8 * 36 - 4,284,5
가방에는 고기김밥이 19개 들어있습니다. 64개의 가방 안에 있는 고기김밥은 모두 몇 개일까요?,19 * 64,1216,9
고기김밥이 한줄에 8개씩 36줄 있습니다. 이중에서 고기김밥 4알을 먹었다면 남은 고기김밥은 몇 개인지 구하시오.,8 * 36 - 4,284,3
한 줄에 8개씩 36줄 있는 고기김밥 중 4알을 먹었다면 남은 고기김밥은 몇 개인지 구하시오.,8 * 36 - 4,284,7
한 줄에 8개씩 36줄 있는 고기김밥 중 4알을 먹었다면 남은 고기김밥은 몇 개인가요?,8 * 36 - 4,284,1
64개의 가방이 있습니다. 가방에는 고기김밥이 19개 들어있습니다. 고기김밥은 모두 몇 개일까요?,19 * 64,1216,4
64개의 가방이 있고 가방에는 고기김밥이 19개 들어있습니다. 고기김밥은 모두 몇 개일까요?,19 * 64,1216,8
"가방에는 고기김밥이 19개 들어있을 때, 64개의 가방 안에 있는 고기김밥은 모두 몇 개일까요?",19 * 64,1216,5
한 줄에 8알씩 36줄 있는 고기김밥 중 4개를 먹었다면 남은 고기김밥은 몇 개인지 쓰시오.,8 * 36 - 4,284,4
"64개의 가방이 있습니다. 가방에는 고기김밥이 19개 들어있다고 할 때, 고기김밥은 모두 몇 개일까요?",19 * 64,1216,4
방울토마토가 60개가 있습니다. 방울토마토를 한 상자에 4개씩 담아 3상자 팔았다면 남은 방울토마토는 몇 개입니까?,60 - ( 4 * 3 ),48,5
남준이는 방울방울토마토를 따서 한 바구니에 214개씩 담았습니다. 2바구니에 담은 방울방울토마토는 모두 몇 개입니까?,214 * 2,428,3
"학교 텃밭에서 열린 방울방울토마토가 528개 중, 1학년이 142개를 따먹고 3학년이 297개를 따먹었습니다. 남은 방울토마토는 모두 몇 개인지 구하세요.",528 - 142 - 297,89,5
"학교 텃밭에서 열린 방울방울토마토가 528개 중, 1학년이 142개를 따먹고 3학년이 297개를 따먹었습니다. 방울토마토는 모두 몇 개가 남았을까요?",528 - 142 - 297,89,3
"남준이는 방울방울토마토를 따서 각 바구니에 64개, 60개씩 담았습니다. 2바구니에 담은 방울방울토마토는 모두 몇 개입니까?",64 + 60,124,9
"남준이는 방울방울토마토를 따서 2개의 바구니에 동일하게 나눠 담았습니다. 각 바구니에 214개씩 있을때, 총 방울토마토는 몇개 인가요?",2 * 214,428,2
"밭에서 윤기와 석진이가 방울토마토를 땄습니다. 이 둘이 각각 49개, 35개씩을 땄다고 할 때, 윤기와 석진이가 딴 방울토마토는 모두 몇 개일까요?",49 + 35,84,6
"유나네 교내 텃밭을 감자, 고구마, 고추, 상추, 방울토마토, 가지 이용하여 가꾸려고 한다. 이 중에서 세 가지를 선택하여 심으려고 한다. 유나가 선택할 수 있는 경우의 수는?","math.comb( 6 , 3 )",20,1
"윤기가 교내 텃밭을 감자, 고구마, 고추, 상추, 방울토마토, 가지를 이용해 가꾸려고 한다. 이 중 세 가지를 선택하여 심으려고 한다. 윤기가 선택할 수 있는 경우의 수는?","math.comb( 6 , 3 )",20,7
하나의 카트에는 방울토마토가 88개 들어있습니다. 47개의 카트 안에 있는 방울토마토는 모두 몇 개일까요?,88 * 47,4136,5
한 상자에 97개씩 총 836개의 방울토마토를 담으려고 합니다. 방울토마토를 모두 담으려면 상자는 적어도 몇 개 이상 필요한지 구하시오.,836 // 97 + 1,9,6
47개의 카트가 있고 하나의 카트에는 방울토마토가 88개 들어있습니다. 방울토마토는 모두 몇 개일까요?,88 * 47,4136,6
"방울토마토 836개를 한 상자에 97개씩 담으려고 할 때, 모든 방울토마토를 담으려면 상자는 적어도 몇 개 필요한가요?",836 // 97 + 1,9,6
"밭에서 윤기는 방울토마토를 49개를 땄습니다. 석진이는 35개를 땄다고 할 때, 윤기와 석진이가 딴 방울토마토는 모두 몇 개일까요?",49 + 35,84,4
