Question,Equation,Answer,fold,Numbers,Names
number0개의 학교가 있고 number1의 학교에 name0 number2를 보냈습니다. 보낸 name1는 모두 몇 개일까요?,number2 * number0,3652,1,83 1 44 ,배 배 
정사각형 모양의 밭이 있습니다. 가로의 길이가 number0m일 때 이 밭의 number1레의 길이는 몇 m인지 쓰시오.,number0 * 4,96,4,24 2 ,
하루에 number0권의 책을 읽는 name0이는 number1일동안 몇 권의 책을 읽습니까?,number0 * number1,15,5,5.0 3.0 ,남준 
"name0 number0송이를 바구니 number1개에 똑같이 나누어 담고, 한 바구니에 담긴 name1를 친구 number2명에게 똑같이 나누어 주었습니다. 친구 number3명에게 나누어 준 name2는 몇 송이인가?",( number0 / number1 ) / number2,2,6,40 5 4 1 ,포도 
"주어진 색 중에서 number0가지 색을 뽑으려고 한다. 빨강, 주황, 노랑, 초록, 파랑의 number1가지 색이 있다. 색을 뽑는 경우의 수는?","math.comb( number1 , number0 )",10,1,3 5 ,
name0가 처음 역에서 number0명을 태우고 출발했다. 다음 역에서 number1명이 내렸다면 지금 name1에 타고 있는 사람은 몇 명인지 구해 보시오.,number0 - number1,7,7,89 82 ,기차 
name0책의 짧은 쪽의 길이는 길이가 number0cm인 공깃돌로 number1번입니다. name1책의 짧은 쪽의 길이는 몇 cm인가요?,number0 * number1,15,5,1 15 ,과학 
"name0, name1, name2, name3, name4, name5의 number0명의 학생이 있다. 이 중 number1명을 의자에 앉히려고 할 때 name6가 반드시 앉게 되는 방법의 수를 구하여라.","math.comb( number0 - 1 , number1 - 1 )",10,2,6 3 ,민영 유나 태형 남준 지민 은지 
"전자 제품 가게에서 컴퓨터를 이번 달에는 number0대 팔고 지난달에는 number1대를 팔았을 때, 이번 달에는 지난달보다 컴퓨터를 몇 대 더 많이 팔았을까요?",abs( number0 - number1 ),25,6,71 46 ,
"빨간 공이 number0개, 파란 공이 number1개 있을 때, 노란 공이 빨간 공과 파란 공을 합한 것보다 number2개 적다고 합니다. 노란 공은 몇 개일까요?",number0 + number1 - number2,36,2,18 23 5 ,
number0개의 농장에 토끼를 나누어 넣으려고 할때 number1마리의 토끼가 있다면 한 농장 당 몇마리의 토끼를 나누어주어야 할까?,( number1 / number0 ),8,9,3 24 ,
"name0이는 number0개의 조개를 발견했습니다. name1는 number1개의 조개를 찾았고, 추가로 number2개를 발견했습니다. 총 몇개의 조개를 발견 했습니까?",10 + 30 + 5,45,2,10.0 30.0 5.0 ,정국 은지 
"name0이가 내일부터 일주일동안 하루에 number0원씩 계속 저금한고 합니다. name1이가 number1,number2원을 가지고 있습니다. name2이가 가진 돈은 얼마가 되는지 구하세요.",2500 + 7 * number0,3200,1,100 2 500 ,호석 
"name0이와 name1이는 똑같은 초콜릿을 number0개씩 먹고 있습니다. 초콜릿을 name2이는 전체의 number1만큼 먹었고, name3이는 전체의 number2만큼 먹었습니다. 초콜릿을 더 많이 먹은 사람은 누구입니까?",'name1' if number1 > number2 else 'name0',태형,9,1 5/9 4/9 ,민영 태형 
name0관에 name1이 number0개 name2이 number1개 name3이 number2개 있습니다. 어떤 공이 가장 많습니까?,"'name0' if max( number0 , number1 , number2 ) == number0 else 'name2' if max ( number0 , number1 , number2 ) == number1 else 'name1'",야구공,4,30 43 29 ,배구공 테니스공 야구공 배 체육 배 
name0이가 파이프를 고정하기 위해 number0리터의 오일이 물로 흘렀습니다. name1가 추가로 number1리터의 오일을 흘렸다면 총 몇리터를 흘렸습니까?,number0 - number1,9090,8,12213.0 3123.0 ,민영 윤기 
name0이는 점심 식사에 number0명을 초대했습니다. 그중 number1명은 오지 않았습니다. 테이블 당 number2명 씩 앉을 수 있다면 총 몇 개의 테이블이 필요합니까?,( number0 - number1 ) / number2,3,5,18.0 12.0 2.0 ,지민 
name0이네 농장에서 name1을 number0개 땄습니다. 한 상자에 number1개씩 나누어 담고 남은 것은 다 먹었습니다. 먹은 name2은 몇 개인지 쓰시오.,number0 % number1,5,4,92 87 ,정국 귤 
"name0이는 올해 number0개의 name1을 샀습니다. name2은 number1개, name3은 number2개를 샀습니다. name4이가 가진 공의 갯수는 몇 개입니까?",number0 + number1 + number2,39,8,11.0 13.0 15.0 ,지민 농구공 야구공 축구공 
name0이는 줄넘기를 어제 number0번 했고 오늘은 하지 않았습니다. name1이가 어제와 오늘 한 줄넘기는 모두 몇 번일까요?,number0 + 0,4,3,4 ,석진 
"name0이는 꽃집에서 백합 number0송이, 장미 number1송이, 국화 number2송이를 샀습니다. name1이가 산 꽃 중 가장 많은 꽃과 가장 적은 꽃의 수의 차는 얼마일까요?","max( number0 , number2 , number2 ) - min( number0 , number2 , number2 )",1,2,2 3 3 ,태형 
"name0이가 총 number0마일을 하이킹 하고 오전에 number1마일을 하이킹 했을 때, 오후에는 몇 마일을 하이킹 했나요?",number0 - number1,8,4,10.0 2.0 ,남준 
"눈이 오전에는 number0cm, 오후에는 number1mm 내렸을때, 오전과 오후에 눈이 모두 몇 cm 내렸는지 구하세요.",number0 + ( number1 / 10 ),3.7,2,3 7 ,
"name0이의 뒤에 number0명의 학생들이 서 있습니다. number1명의 학생들이 한 줄로 줄을 서있다고 할 때, name1이의 앞에 서 있는 학생은 몇 명입니까?",( number1 - number0 - 1 ),7,5,3 11 ,지민 
"name0이는 구슬을 number0개 가지고 있고, name1이는 name2이보다 구슬을 number1개 더 적게 가지고 있습니다. 두 사람이 가진 구슬은 총 몇 개 인가요?",number1 + ( number1 - number1 ),2,4,2 2 ,민영 남준 
네 변의 길이의 합이 number0cm인 정사각형이 있습니다. 이 정사각형의 한 변은 몇 cm인가?,number0 / 4,5,1,20 ,
넓이가 number0cm^number1인 직사각형이 있습니다. 이 직사각형의 가로가 number2cm일 때 세로는 몇 cm입니까?,number0 / number2,5,8,21 2 4.2 ,
"밭에서 name0는 name1를 number0개, name2이는 number1개 땄습니다. name3와 name4이가 딴 name5는 모두 몇 개일까요?",number0 + number1,84,5,49 35 ,윤기 석진 토마토 
"학생들에게 종이를 number0장씩 나누어 주려고 합니다. 색종이가 number1장이 있다고 할 때, 최대 몇 명에게 나누어 줄 수 있는지 쓰시오",number1 // number0,22,3,4 89 ,
"여러명의 어린이가 한 줄로 서 있습니다. 이 때, name0이가 앞에서 number0번째, 뒤에서 number1번째에 서 있다면 한 줄의 어린이는 몇 명 인가요?",number0 + number1 - 1,7,3,3 5 ,민영 
"name0에 number0명이 타고 있었습니다. 서점 앞에서 number1명이 타고, 수영장 앞에서 몇 명이 내렸더니 name1에 number2명 남았습니다. 수영장 앞에서 내린 사람은 몇 명일까요?",number0 + number2 - number2,3,6,3 2 2 ,버스 
"number0개의 숫자 number1, number2, number3 중에서 가장 큰 수를 가장 작은 수로 나눈 몫을 구하시오.","max( number1 , number2 , number3 ) // min( number1 , number2 , number3  )",7,4,3 8 56 9 ,
name0 number0개를 한 상자에 number1개씩 담으려고 합니다. name1를 모두 담으려면 상자가 적어도 몇 개 이상 필요한지 구하시오.,number0 // number1 + 1,9,5,836 97 ,토마토 
"number0장의 수 카드 중 number1장을 뽑아 number2자리 수를 만들려고 합니다. number3, number4, number5, number6가 적힌 수카드를 한 번씩만 사용할 때, 가장 작은 number7자리 수는 name0엇인가요?","[ 100 * i[0] + 10 * number4 + i[1] for i in [ sorted( [ number3 , number5 , number7 ] ) ] ] [0]",305,9,4 3 3 9 0 5 3 3 ,무 
name0 터미널에 name1가 number0대 있었습니다. name2 number1대가 빠져나가고 number2대가 들어왔습니다. name3 터미널에 있는 name4는 몇 대일까요?,number0 - number1 + number2,47,5,52 24 19 ,버스 
양파가 number0개씩 number1묶음과 낱개로 number2개가 있습니다. 양파는 모두 몇 개일까요?,number0 * number1 + number2,39,9,10 2 19 ,
name0의 number0자리 수와 number1자리 수를 바꾼 후 number2와 더하였더니 number3이 되었다면 처음 number4자리 수와 number5의 차는 얼마인가요?,( number3 - number2 ) + ( ( number3 - number2 ) % 10 - ( number3 - number2 ) // number0 ) * 99 - number5,634,9,100 1 395 723 3 189 ,A 
name0관에 name1이 number0개 name2이 number1개 name3이 number2개 있습니다. 어떤 공이 가장 많name4 구하시오.,"'name1' if max( number0 , number1 , number2 ) == number0 else 'name3' if max ( number0 , number1 , number2 ) == number1 else 'name2'",야구공,9,30 43 29 ,은지 배구공 테니스공 야구공 배 체육 배 
색종이를 name0이는 number0장 가지고 있고 name1는 name2이보다 number1장 더 많이 가지고 있습니다. name3이가 name4에게 색종이 number2장을 더 줬다면 name5가 가지고 있는 색종이는 몇 장일까요?,number0 + number1 + number2,51,8,32 17 2 ,태형 은지 
생선 number0마리를 한 봉지에 number1마리씩 담으려고 합니다. 봉지는 몇 봉지 필요합니까?,number0 / number1,6,9,42 7 ,
어떤 수를 number0로 나누었을 때 나머지가 될 수 있는 가장 큰 수는 얼마입니까?,number0 - 1,3,9,4 ,
"name0는 바나나 number0개를 사서 number1개를 먹었습니다. 먹고 남은 바나나를 한 봉지에 number2개씩 담아 포장하려고 할 때, 필요한 봉지는 몇 장인가요?",( number0 - number1 ) / number2,6,8,45 3 7 ,윤기 
"number0, number1, number2 중 가장 작은 수와 가장 큰 수의 덧셈을 구하시오.","min( number0 , number1 , number2 ) + max( number0 , number1 , number2 )",729,6,208 521 492 ,
name0 산책로는 number0m보다 number1m 더 짧고 name1 산책로는 number2m이며 name2 산책로는 number3km number4m이면 가장 긴 산책로는 어디인가?,"'(name0)' if max( number2 , number3 * 1000 + number4 , number0 - number1 ) == number2 else ( '(name1)' if max( number2 , number3 * 1000 + number4 , number0 - number1 ) == number3 * 1000 + number4 else '(name2)' )",(다),9,4000 800 3050 3 9 ,(가) (나) (다) 
"가방에는 name0이 number0개 들어있을 때, number1개의 가방 안에 있는 name1은 모두 몇 개일까요?",number0 * number1,1216,6,19 64 ,김밥 
name0이는 동화책 number0쪽을 일주일 동안 매일 똑같이 나누어 읽었습니다. name1이가 하루에 읽은 동화책의 쪽수는 몇 쪽인가?.,number0 / 7,8,5,56 ,민영 
name0이는 집에 number0명의 친구를 초대했습니다. 오후에 number1명의 친구를 추가로 초대하고 각 친구에게는 number2개의 name1가 있습니다. 총 name2의 갯수는 얼마입니까?,number2 * ( number2 + number0 ),63,2,2.0 7.0 7.0 ,호석 사과 
"number0, number1, number2, number3 중에서 가장 큰 수와 가장 작은 수의 곱을 구해라.","max( number0 , number1 , number2 , number3 ) * min( number0 , number1 , number2 , number3 )",288,3,61 4 7 72 ,
name0 number0개를 한 상자에 number1개씩 담았습니다. name1을 number2개 잃어버렸다면 name2은 총 몇 개 있나요?,number0 - number2,94,2,98 10 4 ,탁구공 
"number0로 나누어도 number1이 남고, number2로 나누어도 number3이 남는 어떤 수가 있습니다. 어떤 수 중에서 가장 작은 수를 구하시오.","min( [ i + number3 for i in range( number2 , number2 * number0 + 1 ) if i % number2 == 0 and i % number0 == 0 ] )",87,4,28 3 42 3 ,
name0이는 처음에 number0원을 가지고 있다가 number1원짜리 name1을 number2 사먹었고 어머니께 용돈 number3원을 받았습니다. name2는 number4원을 가지고 있었습니다. name3이가 지금 가지고 있는 돈은 얼마입니까?,number0 - number4 + number3,700,6,500 150 1 350 150 ,유나 정국 사탕 
크기가 같은 정삼각형을 여러 개 만들려고 길이가 number0cm인 철사를 number1명에게 똑같이 나누어 주었더니 number2cm가 남았습니다. 만든 정삼각형의 한 변의 길이는 몇 cm 인가?,( number0 - number2 ) / number1,21,6,320 15 5 ,
number0개의 상자가 있고 한 상자에는 name0이 number1개 들어있습니다. name1은 모두 몇 개일까요?,number1 * number0,5742,1,66 87 ,라면 
"name0이는 number0,number1원을 가지고 있습니다. 내일부터 일주일동안 하루에 number2원씩 계속 저금한다면 name1이가 가진 돈은 얼마가 되는지 구하세요.",2500 + 7 * number2,3200,4,2 500 100 ,호석 
"학생들이 운동장에 한 줄로 서 있는데, name0이는 number0번째에 서 있습니다. name1이는 number1번째에 서 있습니다. name2이와 name3이 사이에는 몇 명이 서 있을까요?",( number1 - number0 - 1),2,2,4 7 ,민영 정국 
합이 number0이고 차가 number1인 number2수가 있습니다. number3수 중에서 더 작은 수를 구하세요,( number0 - number3 ) / number3,3,5,8 2 2 2 ,
name0이는 number0개의 종이와 number1개의 인형을 갖고 있습니다. name1이는 아빠에게 number2개의 종이와 number3개의 인형을 주었습니다. name2이가 가진 총 인형과 종이의 합계는?,number0 + number1 - number2 - 4.0,49,4,49.0 24.0 20.0 4 ,민영 지민 
가지고 있던 풍선 중 number0개의 풍선이 터져서 남은 풍선을 number1명의 어린이에게 number2개씩 나누어 주었다면 원래 몇 개의 풍선이 있었는지 쓰시오.,number0 + number2 * number1,97,6,53 11 4 ,
name0이는 줄넘기를 어제 number0번하고 오늘은 하지 않았다. name1이가 어제와 오늘 줄넘기를 한 횟수는?,number0 + 0,4,4,4 ,석진 
"꽃밭에 벌이 number0마리 있었습니다. 벌이 number1마리가 나가고, number2마리가 들어왔다면 꽃밭에 있는 벌은 모두 몇 마리인가요?",number0 - number1 + number2,7,8,6 2 3 ,
"꽃가게에서 장미꽃 number0송이를 number1송이씩 묶어서 팔려고 한다면, 총 몇 묶음이 만들어지는지 쓰시오.",number0 // number1,9,2,99 11 ,
꽃집에서 장미꽃을 number0송이씩 포장하여 꽃다발 number1개를 만들었다. 꽃다발을 만드는 데 사용한 꽃은 모두 몇 송이인지 계산하시오.,number0 * number1,72,4,24 3 ,
어떤 수에 number0를 더해야 할 것을 잘못하여 곱했더니 number1가 되었습니다. 바르게 계산한 값은 얼마인지 구해라.,( number1 / number0 ) + number0,0.15,6,0.5 0.6 ,
"number0마리의 토끼를 키우고있는 그가 number1마리를 분양했다면, 몇 마리의 토끼가 남아있습니까?",number0 - number1,7,3,10.0 3.0 ,
어떤 수에서 number0를 빼야 할 것을 잘못하여 number1을 뺐더니 number2가 되었습니다. 바르게 계산하면 얼마입니까?,( number2 + number1 ) - number0,2.3,4,6.2 2.6 5.9 ,
"name0이의 name1 단원별 name2 점수는 number0, number1, number2, number3, number4 점일 때 name3 시험 점수의 평균이 number5점 이상이 되려면 마지막 시험에 적어도 몇 점을 받아야 할까?",number5 * 6 - ( number0 + number5 + number2 + number3 + number4 ),95,7,94 90 85 93 83 90 ,유정 수학 
name0네 학교 number0학년 선생님과 학생이 name1여행을 가려고 number1인승 name2 number2대에 나누어 탔습니다. name3마다 number3자리씩 비어 있다면 number4학년 선생님과 학생은 모두 몇 명인가요?,( number1 - number3 ) * number2,558,8,3 35 18 4 3 ,유나 수학 버스 
"밭에서 name0를 name1와 name2이가 각각 number0개, number1개를 땄다고 할 때, name3와 name4이가 딴 name5는 모두 몇 개일까요?",number0 + number1,84,3,49 35 ,윤기 석진 토마토 
현재 공원에는 총 number0개의 나name0가 있습니다. 오늘 number1그루를 심으면 총 몇 그루의 나name1가 있습니까?,number0 + number1,3863,7,3434.0 429.0 ,무 
number0명이 number1개의 name0을 똑같이 나누어 가진다고 할 때 number2명이 가질 수 있는 name1은 모두 몇 개입니까?,( number1 / number0 ),5,5,2 10 1 ,빵 
number0m와 number1km number2m의 차이는 몇 m인가요?,abs( number1 * 1000 + number2 - number0 ),1300,4,3200 4 500 ,
name0이네 반 학생 number0명이 운동장에 모여있습니다. 한 줄에 number1명씩 선다면 마지막 줄에 서는 학생은 몇 명인지 쓰시오.,number0 % number1,2,6,42 5 ,태형 
어떤 수에 number0를 더해야 할 것을 잘못하여 나눴더니 number1가 되었습니다. 바르게 계산한 값은 얼마입니까?,( number1 * number0 ) + number0,0.8,9,0.5 0.6 ,
name0이네 집에 name1상자가 number0상자 있습니다. 한 상자에 name2가 number1개씩 있다면 name3이네 집에 있는 name4의 개수는 모두 몇 개인가요?,number0 * number1,75,8,3 25 ,민영 사과 
"name0, name1, name2이의 name3 점수는 각각 number0점, number1점, number2점입니다. 이 number3을 제외한 학급의 name4 점수 평균은 number4점이고 name5네 학급 인원수가 number5명일 때, 학급 name6 평균 점수는 몇 점입니까?",( number0 + number1 + number2 + number4 * ( number5 - number3 ) ) / number5,69.63,3,88 81 78 3 69 63 ,정국 남준 윤기 수학 
"name0가 교내 텃밭을 number0개의 씨앗 중 number1가지를 선택하여 심으려고 할 때, name1가 선택할 수 있는 경우의 수는?","math.comb( number0 , number1 )",20,4,6 3 ,윤기 
"name0이는 number0권의 만화책을 읽었습니다. 각 만화책은 number1장 일 때, 총 몇장을 읽었습니까?",number0 * number1,68,4,4.0 17.0 ,정국 
한 화단에 number0명씩 꽃을 각자 number1개씩 심으려고 합니다. 화단이 number2개이면 심을 꽃의 개수는 모두 몇 개입니까?,number0 * number2,54,2,18 1 3 ,
name0는 한 상자에 number0개씩 들어 있는 초콜릿 number1상자를 사서 친구들과 똑같이 나누어 가졌습니다. 이 중에서 number2개를 누나에게 주었더니 남은 초콜릿이 number3개입니다. 친구는 총 몇 명인가요?,number0 * number1 / ( number3 + number2 ),24,2,88 87 66 253 ,윤기 
name0이는 연필 number0자루를 가지고 있습니다. name1이는 연필을 한 사람에게 number1자루씩 number2명에게 나누어 주었다면 남은 연필의 수는 모두 몇 개일까?,number0 - ( number1 * number2 ),18,6,96 6 13 ,호석 
"총 number0명의 선수가 출전한 씨름 대회에서 name0이는 number1등을 했고, name1이는 number2등을 했습니다. name2이는 name3이보다 잘했지만 name4이보다는 못했습니다. name5이의 등수는 몇 등입니까?",number2 + number1,4,4,4 1 3 ,정국 유정 태형 남준 
name0이네 학교 학생 number0명이 현장 학습을 가려고 합니다. name1에 number1명씩 똑같이 나누어 타고 가려 한다면 name2 몇 대가 필요한지 쓰시오.,number0 / number1,31,2,93 31 ,유정 버스 
name0이는 처음에 number0원을 가지고 있다가 number1원짜리 name1을 number2 사먹었고 어머니께 용돈 number3원을 받았습니다. name2는 number4원을 가지고 있었습니다. name3이가 지금 가지고 있는 돈은 얼마입니까?,number0 - number1 + number3,700,4,500 150 1 350 300 ,유나 정국 사탕 
"과일가게에 number0종류의 과일 name0, name1, 바나나, 참외, name2, 복숭아, name3, 파인애플이 있다고 할 때 이 중 number1종류의 과일을 사는 경우의 수는 name4엇입니까?","math.comb( number0 , number1 )",56,5,8 5 ,배 감 귤 포도 무 배 
"name0 number0개를 두 접시에 나누어 담으려고 합니다. 두 접시에 있는 name1의 차가 number1개 일 때, 적은 쪽에 있는 name2의 갯수를 구하시요",( number0 - number1 ) / 2,6,8,15 3 ,과자 
연필 한타는 number0자루이다 연필 number1타는 몇자루일까?,number0 * number1,108,9,12 9 ,
버림하여 number0자리까지 나타내면 number1이 되는 자연수 중에서 가장 큰 수와 가장 작은 수의 차를 구하시오.,"max( [ i for i in range( number1 , number1 + number0 ) ] ) - number1",99,7,100 700 ,
name0 공장에서 세발name1를 만드는 데 바퀴 number0개를 사용하였습니다. name2 공장에서 만든 세발name3는 몇 대입니까?,number0 / 3,12,6,36 ,자전거 
"한 상자에 number0개씩 바나나가 들어갑니다. number1개의 바나나가 있을 때, 필요한 총 상자의 갯수는 몇 개입니까?",number1 / number0,265,8,10.0 2650.0 ,
"number0개의 숫자 number1, number2, number3, number4 중에서 가장 큰 수를 가장 작은 수로 나눈 몫을 구하시오.","max( number1 , number2 , number3 , number4 ) // min( number1 , number2 , number3 , number4 )",7,9,4 84 264 556 79 ,
"number0개의 바구니가 있습니다. 한 바구니에는 바나나가 number1개 들어있다고 한다면, 바나나는 모두 몇 개일까요?",number1 * number0,6402,3,66 97 ,
길이가 number0m인 색 테이프 중에서 상자를 묶는데 number1cm를 사용했습니다. 남은 색 테이프는 몇 cm인가요?,( number0 * 100 ) - number1,173,5,6 427 ,
"name0이는 name1 number0개를 가지고 있고, name2이는 name3 number1개를 가지고 있습니다. name4이는 name5이보다는 적고, name6이보다는 많은 name7을 가지고 있습니다. name8이가 가지고 있는 name9은 몇 개일까요?",( number0 + number1 ) // 2,4,6,5 3 ,민영 태형 석진 과자 
"number0, number1, number2 중에서 가장 큰 수와 가장 작은 수의 합을 쓰시오.","max( number0 , number1 , number2 ) + min( number0 , number1 , number2 )",1071,1,621 326 745 ,
"number0개의 수 number1, number2, number3, number4, number5가 있습니다. 가장 큰 수와 가장 작은 수의 덧셈은 얼마인지 구해라.","max( number1 , number2 , number3 , number4 , number5 ) + min( number1 , number2 , number3 , number4 , number5 )",793,9,5 483 509 668 237 125 ,
name0이네 학교 number0학년은 한 반에 number1명씩 number2개의 반이 있습니다. number3학년 학생들 number4명에게 number5개의 name1을 나누어주려고 할 때 name2은 모두 몇 개 필요합니까?,number1 * number2 * number5,320,5,3 32 2 3 1 5 ,태형 사탕 
number0와 어떤 수의 합은 number1입니다. 어떤 수는 얼마일까요?,number1 - number0,4,6,9 13 ,
"달리기 시합에서 name0는 number0등을 했습니다. name1이는 number1등을 했고, name2이는 name3보다 잘했지만 name4이보다는 못했습니다. name5이의 등수는 몇 등입니까?","range( min( number1 , number0 ) + 1 , max( number1 , number0 ) ) [0]",3,7,4 2 ,남준 윤기 호석 
"장미꽃을 name0이는 number0개 접었고 name1이는 name2이보다 number1개 더 많이 접었다고 할 때, 두 사람이 접은 장미꽃은 몇 개일지 구하세요.",number0 + number1,230,6,110 120 ,지민 석진 
"name0이는 number0개의 비타민 통을 구매했습니다. number1개의 비타민 통 당 number2개의 비타민이 들어있다면, 총 몇개의 비타민이 있습니까?",number2 * number0,2916,2,9.0 1 324.0 ,민영 
name0이는 number0개의 name1를 골랐고 number1개의 name2를 골랐습니다. name3이는 몇 개의 과일을 골랐습니까?,number0 + number1,56,3,45.0 11.0 ,민영 사과 배 배 
어떤 수에 number0를 더해야 할 것을 잘못하여 뺏더니 number1가 되었습니다. 바르게 계산한 값은 얼마인지 쓰시오.,( number1 + number0 ) + number0,1.7,3,0.5 0.6 ,
"number0명의 학생들이 한 줄로 줄을 섰습니다. name0이의 뒤에 number1명의 학생들이 서 있다고 할 때, name1이의 앞에 서 있는 학생은 몇 명입니까?",( number0 - number1 - 1 ),7,4,11 3 ,지민 
"name0이는 number0개의 돌을 갖고 있습니다. name1이가 name2이에게 number1개의 돌을 받고, name3이에게 number2개를 주었을 때, name4이가 가진 돌은 몇 개 입니까?",number0 + number1 - number2,75,2,87.0 8.0 20.0 ,민영 정국 호석 
name0이네 모둠은 총 number0명이고 이 중 남자 어린이가 number1명입니다. name1이네 모둠의 여자 어린이는 몇 명일까요?,number0 - number1,3,4,9 6 ,석진 
"한 학교에 name0이 number0개씩 있다고 할 때, number1개의 학교에는 모두 몇 개의 name1이 있을까요?",number0 * number1,228,8,6 38 ,축구공 
"number0장의 사진을 가지고 있는 name0이가 name1에게 number1장의 사진을 name2에게 주었을 때, name3이가 가진 사진은 총 몇장입니까?",number0 - 418.0,342,5,760.0 418 ,유나 유정 
number0분 number1초를 초로 변환하면 얼마인가?,number0 * 60 + number1,460,3,7 40 ,
name0이네 모둠은 number0장의 색종이를 number1명이 나누어 가졌고 name1네 모둠은 number2장의 색종이를 number3명이 나누어가졌습니다. 한 사람이 더 많은 색종이를 가진 모둠은 누구의 모둠인가요?,'name0' if ( number0 / number1 ) > ( number2 / number3 ) else 'name1',태형,8,48 6 49 7 ,태형 윤기 
"name0는 색연필을 number0자루 가지고 있습니다. 그중에서 name1에게 number1자루를 주고, name2이에게 number2자루를 주었습니다. name3가 name4와 name5이에게 준 색연필은 몇 자루일까요?",number1 + number2,5,6,8 2 3 ,유나 정국 은지 
"name0이는 number0개의 잎을 가지고 있는데 그 중 number1개가 날라갔다면, 남은 잎의 갯수는 몇 개 입니까?",number0 - number1,244,4,356.0 112.0 ,지민 
"name0와 name1는 각각 number0개, number1개의 오렌지를 골랐습니다. 총 오렌지 갯수는 몇개 입니까?",number0 + number1,227,3,123.0 104.0 ,유나 은지 
name0이가 갖고있는 가위의 길이는 number0cm보다 number1mm 더 길다. 가위의 길이는 몇 mm인가?,( number0 * 10 ) + number1,125,3,12 5 ,정국 
오각형이 몇 개 있는데 변의 수를 합하면 number0가 된다고 한다. 오각형의 개수는?,( number0 / 5 ),3,3,15 ,
돼지 저금통을 number0어 보니 number1원짜리 동전 number2개와 number3원짜리 동전 number4개가 나왔습니다. 저금통에 들어 있는 돈은 모두 얼마입니까?,number1 * number2 + number3 * number4,6500,2,10 500 10 50 30 ,
number0부터 number1까지의 수 중 number2를 나누어떨어지게 하는 수를 모두 더하시오.,"sum( i for i in range( number0 , number1 + number0 ) if number2 % i == 0 )",15,8,1 9 32 ,
곶name0이 한 상자에 number0개씩 들어 있습니다. number1상자에 들어 있는 곶name1은 모두 몇 개입니까?,number0 * number1,225,7,25 9 ,감 
number0개의 전구에 불을 켜서 신호를 보내려고 합니다. 이 전구들로 신호를 나타낼 수 있는 방법은 몇 가지인가?,2 ** number0,7.38E+19,7,66 ,
넓이가 number0cm^number1인 직사각형이 있습니다. 가로가 number2cm일 때 세로는 몇 cm입니까?,number0 / number2,5,6,21 2 4.2 ,
number0와 number1를 모두 나누어 떨어지는 어떤 수 중에서 가장 큰 수를 구하시오.,"math.gcd( number0 , number1 )",8,3,24 32 ,
딱지가 한묶음에 number0장씩 있는데 number1묶음이 있다고 한다면 한 사람당 number2장씩 나누어 준다고 했을 때 몇 명에게 딱지를 나누어 줄 수 있습니까?,( number1 * number1 ) / number2,9,5,6 6 4 ,
"name0관에 name1이 number0개 name2이 number1개 name3이 number2개 있다고 할 때, 어떤 공이 가장 많습니까?","'name0' if max( number0 , number1 , number2 ) == number0 else 'name2' if max ( number0 , number1 , number2 ) == number1 else 'name1'",야구공,7,30 43 29 ,배구공 테니스공 야구공 배 체육 배 
"한 뼘의 길이가 약 number0 cm이라고 합니다. name0이가 책상의 짧은 쪽의 길이를 뼘으로 재었더니 number1뼘이었을 때, 책상의 짧은 쪽의 길이는 약 몇 cm인가요?",number1 * number0,33,2,11 3 ,지민 
name0이가 간식을 먹기 위해 전자레인지에 팝콘을 넣었습니다. number0분 number1초 동안 가number2한 후 꺼내서 다시 number3초를 더 가number4하였습니다. name1이가 기다린 시간은 몇 초일까?,number0 * 60 + number1 + number3,808,8,7 38 10 287 10 ,석진 
"학생들이 name0를 타려고 한 줄로 서 있고 name1이는 앞에서 number0째, 뒤에서 number1째에 서 있다고 하면 줄을 선 학생은 모두 몇 명입니까?",number0 + number1 - 1,9,5,4 6 ,태형 버스 
"어떤 수에 number0을 더할 것을 잘못하여 뺐더니 number1가 되었을 때, 어떤수에 number2을 더한 값은 name0엇입니까?",number1 + number2 + number2,71,1,18 35 18 ,무 
name0이의 학교 운동장의 한 바퀴는 number0m입니다. name1이는 어제 number1바퀴를 뛰었고 오늘은 number2바퀴를 뛰었습니다. 은영이가 어제 학교 운동장을 뛴 거리는 총 몇 m입니까?,number0 * number1,8556,4,93 92 81 ,남준 
name0이가 하루에 number0개씩 땅콩을 먹는다면 number1월 한달 동안 먹는 땅콩은 몇 개인가?,number0 * 30,210,5,7 4 ,남준 
name0이네 농장에 토끼가 number0마리가 태어나서 총 number1마리 있습니다. 토끼가 태어나기 전에는 몇 마리 였나요?,number1 - number0,5,6,1 6 ,태형 
number0명의 사람들이 한 줄로 줄을 섰습니다. name0의 뒤에 number1명의 사람들이 서 있습니다. name1의 앞에 서 있는 사람은 몇 명입니까?,number0 - number1 - 1,5,6,65 59 ,유나 
"name0이는 초콜릿 number0개를 가지고 있었는데 언니에게서 number1개를 받고, 동생에게 number2개를 주었습니다. name1이에게 남은 초콜릿은 몇 개일까요?",number0 + number1 - number2,16,8,14 5 3 ,유정 
수영장에 어린이와 어른을 합하여 모두 number0명 있습니다. 그 중 어른이 number1명입니다. 청소년은 number2명입니다. 그렇다면 수영장에 있는 어린이는 몇 명입니까?,number0 - number1,348,3,537 189 1 ,
name0이는 number0송이의 장미중에 number1개를 팔았고 number2개를 구매했습니다. name1이는 몇성이의 장미를 갖고 있습니까?,number0 + number2 - number1,13,5,6.0 5.0 12.0 ,유정 
